N,q,q_b,eps_ref,nu,dA,cc_pct
48,0.75,0.15000000000000002,0.04,0.47975615461056376,1.8485057430451683,0.9279293305643449
48,0.75,0.15000000000000002,0.06,0.48963595870367954,2.7564185914526167,0.9279293305643449
48,0.75,0.15000000000000002,0.08,0.4963152913225166,3.6743185392823854,0.9279293305643449
48,0.75,0.15000000000000002,0.1,0.5017133717313961,4.602518728808966,0.9279293305643449
48,0.75,0.15000000000000002,0.12,0.5064642273573535,5.54144160753037,0.9279293305643449
48,1.0,0.20000000000000004,0.04,0.5375950346432873,1.611948704591837,0.8822014170194206
48,1.0,0.20000000000000004,0.06,0.5480307190750782,2.4027761835827612,0.8822014170194206
48,1.0,0.20000000000000004,0.08,0.5552247193031231,3.204478773646516,0.8822014170194206
48,1.0,0.20000000000000004,0.1,0.5611175844388275,4.0174165851665915,0.8822014170194206
48,1.0,0.20000000000000004,0.12,0.5663481212594748,4.842063861233161,0.8822014170194206
48,1.5,0.30000000000000004,0.04,0.6178381220946257,1.2834974479195151,0.8049935412943031
48,1.5,0.30000000000000004,0.06,0.628909687295321,1.9123053727662598,0.8049935412943031
48,1.5,0.30000000000000004,0.08,0.6368558710654839,2.5521762219405426,0.8049935412943031
48,1.5,0.30000000000000004,0.1,0.6435453084341984,3.203517495251891,0.8049935412943031
48,1.5,0.30000000000000004,0.12,0.6495908049785842,3.866838596767891,0.8049935412943031
48,2.0,0.4000000000000001,0.04,0.6708819693831547,1.066217531788276,0.7448519073381792
48,2.0,0.4000000000000001,0.06,0.6822814900697182,1.5882424017229235,0.7448519073381792
48,2.0,0.4000000000000001,0.08,0.6907533743763484,2.1207211632549736,0.7448519073381792
48,2.0,0.4000000000000001,0.1,0.6980428523165505,2.6641367959729267,0.7448519073381792
48,2.0,0.4000000000000001,0.12,0.7047256915542316,3.218991537053742,0.7448519073381792
48,3.0,0.6000000000000001,0.04,0.7366381904709768,0.7965416680388397,0.6595910052872996
48,3.0,0.6000000000000001,0.06,0.7484098703368707,1.1862921196679552,0.6595910052872996
48,3.0,0.6000000000000001,0.08,0.7575678530697164,1.5850863785824065,0.6595910052872996
48,3.0,0.6000000000000001,0.1,0.7656869819597486,1.9933235574290586,0.6595910052872996
48,3.0,0.6000000000000001,0.12,0.7732733451704843,2.411529286840636,0.6595910052872996
48,5.0,1.0000000000000002,0.04,0.8018235483002197,0.5289794263375236,0.5055552475020407
48,5.0,1.0000000000000002,0.06,0.8138782133676169,0.7876027387537511,0.5055552475020407
48,5.0,1.0000000000000002,0.08,0.8237753344540137,1.0530981459075368,0.5055552475020407
48,5.0,1.0000000000000002,0.1,0.8328210115625269,1.3257838013024692,0.5055552475020407
48,5.0,1.0000000000000002,0.12,0.8414355555559856,1.6060447990088729,0.5055552475020407
48,7.5,1.5000000000000002,0.04,0.8399118423201887,0.3725408914080734,0.366185519481284
48,7.5,1.5000000000000002,0.06,0.8520932242754453,0.5546263089014034,0.366185519481284
48,7.5,1.5000000000000002,0.08,0.8624408194963699,0.7418788385710138,0.366185519481284
48,7.5,1.5000000000000002,0.1,0.8720723375676571,0.9345608922503905,0.366185519481284
48,7.5,1.5000000000000002,0.12,0.8813468637645759,1.1329775204316697,0.366185519481284
48,10.0,2.0000000000000004,0.04,0.8606010970442162,0.2875245270834854,0.2868956397240796
48,10.0,2.0000000000000004,0.06,0.8728473057207232,0.42802088339013233,0.2868956397240796
48,10.0,2.0000000000000004,0.08,0.883447041242403,0.572652884800303,0.2868956397240796
48,10.0,2.0000000000000004,0.1,0.8934114726593437,0.7216301619119783,0.2868956397240796
